Year,Delta C14 (parts per thousand),Notes
1954,-22.5,http://intcal.org/JS/JSintcal20/index.html?xscale=ADBC&yscale=D14C&Sets%5B%5D=1
1953,-24.1,
1952,-25.8,
1951,-25.6,
1950,-25.8,
1949,-26,
1948,-22.2,
1947,-21.6,
1945,-22.4,
1944,-20.7,
1944,-25,
1943,-21.9,
1943,-27.4,
1942,-21,
1942,-19.9,
1941,-19.9,
1940,-23,
1939,-20.1,
1938,-16.5,
1938,-16,
1937,-17.2,
1936,-16.5,
1935,-16.7,
1934.5,-10.5,
1934,-15.5,
1933,-18.6,
1932,-20.1,
1932,-21.4,
1931,-16.6,
1930,-15.9,
1930,-14.9,
1929,-20.9,
1929,-16.5,
1929,-18.7,
1928,-16.9,
1928,-16,
1927,-17.2,
1927,-16.1,
1926,-14.4,
1926,-16.6,
1925,-15,
1925,-11.2,
1924.5,-8,
1924,-13.9,
1924,-10.6,
1923,-14.8,
1923,-15.7,
1922,-14.2,
1922,-11.9,
1921,-16.2,
1921,-11.1,
1920,-16.9,
1920,-13.1,
1919,-12.2,
1919,-11.9,
1918,-13,
1918,-11.5,
1918,-11.1,
1917,-12.4,
1917,-7.6,
1917,-11.3,
1916,-11.6,
1916,-12.4,
1915,-8.1,
1915,-6.1,
1914.5,-6.8,
1914,-7.7,
1913,-9.2,
1913,-7.9,
1913,-8.3,
1913,-2.6,
1913,-8.2,
1913,-10.3,
1913,-11,
1912,-10.3,
1911,-11.2,
1910.5,-7.5,
1910.5,-7.1,
1910,-9.4,
1909,-8.3,
1908.5,-6.3,
1908,-11.2,
1906.5,-9.6,
1906.5,-5.8,
1906.5,-3.7,
1906,-5.7,
1905,-7.6,
1904.5,-4.8,
1904.5,1.5,
1904,-5.7,
1903,-6,
1902.5,-4.1,
1902,-2.3,
1902,-6.1,
1901,0.9,
1901,-1.4,
1900.5,-1.2,
1900,-5.4,
1899,-6.6,
1898.5,-3.6,
1898,-5,
1897,-5.9,
1896.5,-2,
1896,-2.8,
1895,-2.7,
1894.5,-3.4,
1894.5,-3.1,
1894,-2.8,
1893,-2.1,
1892.5,-2.8,
1892.5,-5.4,
1892,-6.2,
1891,-4.1,
1890.5,-4.9,
1890,-5.7,
1889,-6.7,
1889,-7.9,
1889,-4.4,
1888,-6.4,
1888,-7.3,
1887,-5.1,
1887,-4.8,
1887,-9.5,
1886,-8.2,
1886,-7.3,
1886,-2.7,
1885,-5.3,
1885,-3.6,
1884,-3.3,
1883,-2.7,
1882,-1.5,
1881,-5,
1880,-2.7,
1879,-5.1,
1878,-6.7,
1878,-5.3,
1877,-4.9,
1876,-7.5,
1875,-5,
1875,-5.1,
1874,-6.1,
1873,-8.3,
1873,-4.1,
1872,-6.1,
1872,-3.8,
1872,-3.4,
1871,-4.6,
1871,-4.4,
1870,-5.5,
1870,-4.3,
1870,-3.1,
1869,-4.3,
1869,-4.4,
1869,-2.4,
1868,-2.7,
1868,-5.9,
1868,-3.8,
1867,-4.6,
1867,-2.4,
1867,-3,
1867,-6.7,
1866,-5,
1866,-6.1,
1865,-3,
1865,-4.8,
1864,-5.6,
1864,-7.4,
1864,-8.7,
1863,-5.8,
1863,-6.6,
1863,-2.3,
1862,-7.3,
1862,-4.9,
1861,-2.9,
1861,-3.4,
1861,-3.5,
1860,-4.4,
1860,-2.7,
1860,-4.4,
1859,-3.1,
1858,-2.1,
1857,-5,
1856,-3.7,
1856,-4.3,
1855,-4.1,
1854,-4.1,
1853,-5.8,
1852,0,
1851,-2.5,
1850,-1.5,
1849,1.4,
1848.5,-1.7,
1848,-2.1,
1847,-2.2,
1846.5,0.4,
1846,-1.5,
1845,-2.5,
1844,0.9,
1844,-1.2,
1843,0,
1843,-2.9,
1842,-2.1,
1842,-1,
1841,-6.3,
1841,-3,
1840,-1.3,
1839.5,-0.7,
1839,-1.6,
1838,1,
1838,-3.7,
1838,-1.1,
1838,-2.1,
1838,-5.4,
1837,-3.6,
1836,-0.8,
1835,0,
1834,-0.2,
1833,0.5,
1832,2.2,
1831,1.4,
1830,3.8,
1829,5.2,
1828,2.2,
1828,2.7,
1828,3.8,
1827,6.1,
1827,2.9,
1826,2.2,
1825,1.8,
1824,1.1,
1823,2.9,
1822,-0.5,
1822,1.3,
1821,0.3,
1821,5.4,
1821,5.8,
